课程性质	专业方向	学期	课程名称	学分	已修课程
通识教育必修课	-	1	△思想政治理论课实践(道法)	0.5	△思想政治理论课实践(道法)-0.5√
通识教育必修课	-	1	Δ国防知识与军事训练	2	Δ国防知识与军事训练-2√
通识教育必修课	-	1	Δ军事理论	2	-
通识教育必修课	-	1	Δ思想道德与法治	2.5	Δ思想道德与法治-2.5√
通识教育必修课	-	1	Δ形势与政策(一)	0.25	Δ形势与政策(一)-0.25√
通识教育必修课	-	1	Δ英语听说(一)	2.5	-
通识教育必修课	-	1	Δ英语阅读(一)	2	-
通识教育必修课	-	1	大学生职业生涯规划与管理	0.5	大学生职业生涯规划与管理-0.5√
通识教育必修课	-	1	体育选项(一)	1	体育选项(一)-1√
通识教育必修课	-	1	信息技术应用	2	信息技术应用-2√
通识教育必修课	-	1	专业导读	1	专业导读-1√
通识教育必修课	-	2	△思想政治理论课实践(纲要)	0.5	△思想政治理论课实践(纲要)-0.5√
通识教育必修课	-	2	Δ形势与政策(二)	0.25	Δ形势与政策(二)-0.25√
通识教育必修课	-	2	Δ英语听说(二)	2.5	-
通识教育必修课	-	2	Δ英语阅读(二)	2	-
通识教育必修课	-	2	Δ中国近现代史纲要+四史教育	2.5	-
通识教育必修课	-	2	生命关怀与心理健康	2	-
通识教育必修课	-	2	体育选项(二)	1	体育选项(二)-1√
通识教育必修课	-	3	△思想政治理论课实践(概论1)	0.5	-
通识教育必修课	-	3	Δ马克思主义基本原理	3	-
通识教育必修课	-	3	Δ毛泽东思想和中国特色社会主义理论体系概论(一)	2	-
通识教育必修课	-	3	Δ外语拓展	2	-
通识教育必修课	-	3	Δ形势与政策(三)	0.25	-
通识教育必修课	-	3	体育选项(三)	1	-
通识教育必修课	-	4	△思想政治理论课实践(概论2)	0.5	-
通识教育必修课	-	4	Δ毛泽东思想和中国特色社会主义理论体系概论(二)	2	-
通识教育必修课	-	4	Δ形势与政策(四)	0.25	-
通识教育必修课	-	4	体育选项(四)	1	-
通识教育必修课	-	5	Δ形势与政策(五)	0.25	-
通识教育必修课	-	6	Δ形势与政策(六)	0.25	-
